matID,P,A,S,S_category,C,NODFst,N_lowHigh,NODFc,rho_mean0,rho_mean1,fPersP0,fPersP1,criterion_check0,criterion_check1
701,25,66,91,2,0.14727,-0.075452,0,0.795475816,0.0494645276793402,0.0494747558823403,0.96,1,1,1
702,20,69,89,2,0.15507,-0.064243,0,0.858569116,0.0507114971560497,0.0507070209491326,1,1,1,1
703,28,63,91,2,0.14853,-0.073811,0,0.772178097,0.0492733155383345,0.0495280514792263,0.928571428571429,0.928571428571429,1,1
704,20,70,90,2,0.145,-0.15369,0,0.783352835,0.0513322034121853,0.0513309107935279,1,1,1,1
705,26,65,91,2,0.14911,-0.039893,0,0.812541996,0.0494505060728926,0.0495504613166328,1,1,1,1
706,19,68,87,2,0.16022,-0.070521,0,0.864511477,0.0502173506267979,0.0501941298868065,1,1,1,1
707,22,69,91,2,0.1502,-0.068493,0,0.833422468,0.0507022374716698,0.0505129303682885,0.954545454545455,1,1,1
708,25,66,91,2,0.1503,-0.045514,0,0.817082528,0.0498450601634935,0.0499675984913718,0.96,1,1,1
709,20,71,91,2,0.14648,-0.025802,0,0.926109384,0.0500552429618743,0.0500446793958074,1,1,1,1
710,27,63,90,2,0.15344,-0.046304,0,0.798606599,0.0516985776231285,0.0519529389525921,0.888888888888889,0.925925925925926,1,1
711,18,72,90,2,0.15509,-0.073319,0,0.880335934,0.0489939013062484,0.0489730714626253,1,1,1,1
712,19,71,90,2,0.14826,-0.058349,0,0.909577502,0.0487429393224595,0.0487289421973599,1,1,1,1
713,18,73,91,2,0.14764,-0.041762,0,0.94224005,0.0506953410711628,0.0506815458641673,1,1,1,1
714,23,67,90,2,0.15055,-0.12635,0,0.766744503,0.0491701650663413,0.0491906213425032,1,1,1,1
715,22,68,90,2,0.14906,-0.066374,0,0.8351884,0.0490783895595876,0.0490862690782628,1,1,1,1
716,28,64,92,2,0.14788,-0.079239,0,0.759219384,0.0495390649098536,0.0501717269970224,0.964285714285714,0.928571428571429,1,1
717,22,68,90,2,0.14773,-0.098309,0,0.805843715,0.0502138405500291,0.0502237204940353,1,1,1,1
718,23,66,89,2,0.15547,-0.028455,0,0.854406185,0.0497061980780075,0.049700194550588,0.91304347826087,1,1,1
719,27,65,92,2,0.14758,-0.1242,0,0.725296847,0.0496324562718458,0.0496742273444753,1,1,1,1
720,22,67,89,2,0.15129,-0.11494,0,0.785060124,0.0482428783282636,0.0482492241507381,1,1,1,1
721,24,65,89,2,0.15769,-0.013723,0,0.854260676,0.0497144108432467,0.0499452225892578,0.958333333333333,0.958333333333333,1,1
722,19,68,87,2,0.15789,-0.097596,0,0.840393411,0.0497167516030699,0.0497012919999538,1,1,1,1
723,25,66,91,2,0.1503,-0.096955,0,0.767111371,0.0491600489863265,0.0493807706826977,0.96,0.96,1,1
724,24,66,90,2,0.1452,-0.067142,0,0.821059605,0.0492316663948628,0.049030651701565,0.958333333333333,1,1,1
725,21,69,90,2,0.15183,-0.11658,0,0.798783302,0.0505620863035822,0.0508219345784756,0.952380952380952,1,1,1
726,25,64,89,2,0.15625,-0.092651,0,0.766710566,0.0493037236799592,0.0497603256551495,0.96,0.96,1,1
727,23,67,90,2,0.1538,-0.072947,0,0.807989425,0.0500402780516642,0.0500594996600372,1,1,1,1
728,20,70,90,2,0.14929,-0.091864,0,0.844048467,0.0488069234634993,0.0487927851603797,1,1,1,1
729,27,63,90,2,0.15461,-0.093463,0,0.743515941,0.0501940604132647,0.0506993035406391,0.962962962962963,0.962962962962963,1,1
730,22,68,90,2,0.14706,-0.056494,0,0.862201602,0.0484122872288591,0.0484239524800483,1,1,1,1
731,27,64,91,2,0.15394,-0.083907,0,0.751250647,0.0502287196347256,0.049829304018482,0.925925925925926,1,1,1
732,23,68,91,2,0.14898,-0.071007,0,0.81453524,0.0500133515445363,0.0500445985872922,1,1,1,1
733,28,64,92,2,0.14844,-0.070118,0,0.770456471,0.0491830569509359,0.0495848829599259,0.964285714285714,0.964285714285714,1,1
734,25,66,91,2,0.14788,-0.03826,0,0.832054127,0.0494519281592266,0.0497765511731953,0.96,0.92,1,1
735,23,67,90,2,0.15315,-0.10409,0,0.779846379,0.0502073717807575,0.0505029676264724,0.956521739130435,0.956521739130435,1,1
736,21,68,89,2,0.15896,-0.12545,0,0.769214556,0.0510339694381137,0.0510444995827321,1,1,1,1
737,19,68,87,2,0.15402,-0.043069,0,0.909663145,0.0504814795694026,0.0504778286916495,1,1,1,1
738,28,64,92,2,0.149,-0.080567,0,0.756701917,0.0507784116618514,0.051049131505083,0.964285714285714,0.928571428571429,1,1
739,22,68,90,2,0.1504,-0.11588,0,0.780281121,0.0492397313781388,0.0492462421912822,1,1,1,1
740,20,70,90,2,0.15071,-0.025275,0,0.913579381,0.0497013869586811,0.049698397762026,1,1,1,1
741,20,69,89,2,0.15217,-0.1469,0,0.776872517,0.0496734705102872,0.0496704658566519,1,1,1,1
742,25,65,90,2,0.15262,-0.078134,0,0.784147869,0.0500969293566518,0.0501692050227446,1,0.96,1,1
743,24,64,88,2,0.15299,0.0053146,0,0.891667916,0.050806654892149,0.0508152685678184,0.916666666666667,1,1,1
744,21,71,92,2,0.14889,-0.085311,0,0.829676428,0.0505307237008824,0.0505350273163423,1,1,1,1
745,22,66,88,2,0.15909,-0.099508,0,0.794049386,0.0508358211907965,0.0508616836267488,1,1,1,1
746,23,66,89,2,0.15613,-0.04031,0,0.842355118,0.0514481274141103,0.0516559403115966,0.956521739130435,0.956521739130435,1,1
747,18,70,88,2,0.15476,-0.17579,0,0.781636165,0.0511629694115249,0.0511551760051215,1,1,1,1
748,22,69,91,2,0.1469,-0.10219,0,0.799808221,0.0498580079611248,0.0500569531079795,1,0.954545454545455,1,1
749,19,70,89,2,0.15263,-0.088411,0,0.850282767,0.0491345248377601,0.049123307626529,1,1,1,1
750,28,63,91,2,0.14626,0.040806,0,0.892354611,0.0499861878623104,0.050072241621496,0.892857142857143,0.892857142857143,1,1
751,28,64,92,2,0.149,-0.12722,0,0.709959787,0.0491310911624341,0.0493940840301464,0.928571428571429,1,1,1
752,21,67,88,2,0.15778,-0.09708,0,0.810482784,0.0489465328056948,0.0489455687610835,1,1,1,1
753,20,69,89,2,0.15507,-0.14086,0,0.778175368,0.0515154911784448,0.0515130430248942,1,1,1,1
754,22,67,89,2,0.15807,-0.08705,0,0.79963451,0.0495591390108572,0.0495687080655015,1,1,1,1
755,29,62,91,2,0.15295,-0.0010991,0,0.820032315,0.0496909303445902,0.0495589542245066,0.862068965517241,0.96551724137931,1,1
756,24,67,91,2,0.14739,-0.097692,0,0.780660651,0.0502891578165868,0.0501894226424201,0.958333333333333,1,1,1
757,22,69,91,2,0.14888,-0.063641,0,0.846207115,0.0501696217533947,0.0501799684183519,1,1,1,1
758,22,67,89,2,0.15604,-0.051076,0,0.840489973,0.050185030028472,0.050108932468485,0.954545454545455,1,1,1
759,25,66,91,2,0.1503,-0.097897,0,0.765797778,0.0500545077329824,0.0498930670372831,0.96,1,1,1
760,21,67,88,2,0.15494,-0.093471,0,0.81118148,0.0506906622845113,0.0506940290470792,1,1,1,1
761,25,66,91,2,0.15152,-0.098371,0,0.763757859,0.0499664848257443,0.0500155279844839,0.96,1,1,1
762,20,70,90,2,0.15,-0.069508,0,0.871419493,0.0493240829908756,0.0492111934445797,0.95,1,1,1
763,19,72,91,2,0.15058,-0.085819,0,0.861139806,0.0497336840588937,0.0497247513831286,1,1,1,1
764,22,67,89,2,0.15807,-0.1001,0,0.790098544,0.0486172059650647,0.0486205452735289,1,1,1,1
765,21,68,89,2,0.15476,-0.12135,0,0.785262534,0.050750985679306,0.0507557202759581,1,1,1,1
766,18,71,89,2,0.15493,-0.06589,0,0.892602105,0.0506334460678052,0.0506175865414473,1,1,1,1
767,19,71,90,2,0.15419,0.015535,0,0.972560236,0.0507931771112026,0.0507823990432498,1,1,1,1
768,26,66,92,2,0.14627,-0.049726,0,0.810829624,0.0512247474148804,0.0518776288072873,0.961538461538462,0.884615384615385,1,1
769,18,73,91,2,0.1484,-0.092263,0,0.879627019,0.0492491999905311,0.0492359345508666,1,1,1,1
770,20,71,91,2,0.15,-0.15517,0,0.767002179,0.04854787880865,0.0485374440164759,1,1,1,1
771,22,69,91,2,0.15217,-0.089299,0,0.804147366,0.0497297369019406,0.049737362180339,1,1,1,1
772,22,68,90,2,0.14906,-0.069112,0,0.831788017,0.0493032169700098,0.0493152381370907,1,1,1,1
773,27,65,92,2,0.15043,-0.11763,0,0.726484699,0.048869534335153,0.0485970901293503,0.925925925925926,1,1,1
774,22,69,91,2,0.15217,-0.062578,0,0.839316823,0.0509156399124104,0.0510373641824321,0.954545454545455,1,1,1
775,23,68,91,2,0.1509,-0.12298,0,0.764289689,0.0488034765328828,0.0488225328885509,1,1,1,1
776,20,67,87,2,0.15821,0.031302,0,0.960078754,0.0513384601515351,0.0513316590627586,1,1,1,1
777,28,64,92,2,0.14955,-0.090335,0,0.747238707,0.0490621661090934,0.0490583164748604,0.928571428571429,0.928571428571429,1,1
778,19,66,85,2,0.1563,-0.08305,0,0.862322705,0.0504428101763513,0.0504227456324225,1,1,1,1
779,28,61,89,2,0.15281,-0.049659,0,0.789181847,0.0491556339431155,0.0502942829926835,0.928571428571429,0.857142857142857,1,1
780,18,68,86,2,0.16503,-0.098302,0,0.84811458,0.0491798597228652,0.0491455494574858,1,1,1,1
781,19,69,88,2,0.15866,-0.11844,0,0.810632968,0.0483118175891613,0.0482941575510078,1,1,1,1
782,19,70,89,2,0.15414,-0.105,0,0.827214902,0.0488967882876064,0.0488757760332627,1,1,1,1
783,24,67,91,2,0.15734,-0.0037902,0,0.85996093,0.0497913600443613,0.0503693219633595,0.958333333333333,0.958333333333333,1,1
784,28,62,90,2,0.15207,-0.091197,0,0.75270522,0.0506464202636115,0.0515372023122167,0.928571428571429,0.928571428571429,1,1
785,25,66,91,2,0.15394,-0.042494,0,0.812601034,0.0501422404514947,0.0501498234171418,0.96,1,1,1
786,26,66,92,2,0.15035,-0.059576,0,0.792785522,0.049980251260816,0.0496242187176891,0.923076923076923,0.961538461538462,1,1
787,19,72,91,2,0.15278,-0.11167,0,0.824739787,0.0499342724564879,0.0499307989780724,1,1,1,1
788,20,65,85,2,0.16769,-0.035662,0,0.866939591,0.0483198838965225,0.0482999705854963,1,1,1,1
789,20,69,89,2,0.15362,-0.12728,0,0.799353404,0.0502719068470317,0.0502663982339596,1,1,1,1
790,27,65,92,2,0.14473,-0.074408,0,0.785199169,0.0500990575609557,0.0504640979600721,0.925925925925926,0.888888888888889,1,1
791,21,71,92,2,0.15023,-0.13685,0,0.786397872,0.0494089098841495,0.0494089533427025,1,1,1,1
792,23,69,92,2,0.14682,-0.12885,0,0.763335628,0.0497141114661224,0.0497227566547838,1,1,1,1
793,24,66,90,2,0.15025,-0.073211,0,0.797266835,0.0488365337281764,0.0489873724474814,0.958333333333333,1,1,1
794,19,68,87,2,0.15867,-0.018525,0,0.928420593,0.0489636158324307,0.0489422933046568,1,1,1,1
795,23,67,90,2,0.15055,-0.064341,0,0.824843378,0.0513907236796609,0.0514289690973622,1,1,1,1
796,19,69,88,2,0.15713,-0.1373,0,0.797693813,0.0514243738383381,0.051415612631106,1,1,1,1
797,24,67,91,2,0.14801,-0.056829,0,0.825098287,0.0492324693335624,0.0492661173092781,1,1,1,1
798,22,68,90,2,0.15174,-0.074907,0,0.824610725,0.0495376512878902,0.049547749996926,1,1,1,1
799,20,70,90,2,0.15714,-0.06336,0,0.85330978,0.0503587829552177,0.0503475269669743,1,1,1,1
800,28,63,91,2,0.15306,-0.098985,0,0.728427376,0.0497771482081695,0.0501159563288059,1,0.964285714285714,1,1
